source,class
tpbqbq.sw+pqgvpg.z_z_rotated.npy,1.0
tbzsbb.ss+psbzgq.b_zmm.npy,5.0
tttqpp.mg+gpmmpv.q_t_rotated.npy,0.0
ttbbpt.sq+gtggbb.v_t_flipped.npy,0.0
tztggw.vz+pvgzbb.g_zmm.npy,5.0
tpmpzp.gv+pvgmmz.t_zmm.npy,5.0
tpbsgg.sp+pvpmpb.z_t_rotated.npy,2.0
tpgqmg.bv+gpmgmv.g_z_translated.npy,1.0
tbzsps.bs+pvttmz.z_zmm.npy,4.0
tbtpbv.pz+gmgmgz.g_t_rotated.npy,1.0
tpbqpv.qv+psbmmb.w_zmm.npy,0.0
tpgqpz.gv+pwpmmm.z_t_translated.npy,1.0
tbtwgp.gw+gtzgmg.w_zmm.npy,5.0
tpmmgq.tt+pwzsmq.z_zmm.npy,5.0
tpgqmp.gg+gtgspz.z_zmm.npy,2.0
tzgtmm.zp+gbmqpm.p_z_translated.npy,1.0
tztgmz.bq+pspwpt.t_z_rotated.npy,1.0
tppvbw.wm+gpggtv.m_zmm.npy,5.0
tbtbbb.mq+psmwpw.v_z_translated.npy,1.0
tbzvzw.gv+gbpwpb.q_t_translated.npy,0.0
tgtppp.sm+gtbvms.q_z_flipped.npy,1.0
tztgmv.sw+pvbmpz.q_zmm.npy,5.0
tppqmm.ww+pvmmgz.g_z_flipped.npy,1.0
tzmwpg.zm+pvppgt.t_zmm.npy,5.0
tbpzmp.sb+gmzbpm.p_t_flipped.npy,0.0
tptszp.wm+gpbwzs.w_zmm.npy,3.0
ttbgtp.wv+gpztmq.q_zmm.npy,1.0
ttbmgq.qw+gmtvgs.g_t_rotated.npy,0.0
tbzvbm.qt+gpbwbs.w_t_flipped.npy,0.0
ttbzzb.sq+pvtpmm.p_t_rotated.npy,1.0
tbtmpt.gg+pqtvpp.w_t_flipped.npy,0.0
ttgspv.wm+pvpppg.z_z_translated.npy,1.0
tttmtm.wq+gbbtmg.g_t_translated.npy,2.0
tzbpmw.sg+gmzvmq.t_t_flipped.npy,1.0
tmgwmv.sp+pqzpgs.s_zmm.npy,0.0
tzpwps.pq+gpgbtb.s_z_rotated.npy,1.0
tbptgs.vg+pqmgpz.q_zmm.npy,1.0
tzbqtg.vw+gmbmgq.z_z_rotated.npy,2.0
tzbsbm.zt+pvmgts.v_z_flipped.npy,2.0
ttgmbm.bz+pwbbpm.g_t_translated.npy,0.0
tzzvzw.gz+gzbtbt.s_t_rotated.npy,2.0
tmgqgg.gb+gtbwzm.g_zmm.npy,5.0
tzztzv.qm+pvpqpp.t_z_flipped.npy,2.0
tzppzb.wg+gbzvgv.w_t_translated.npy,0.0
tbtpmt.sq+gtzppp.w_zmm.npy,0.0
tbbvtq.pw+pwgqzm.w_t_rotated.npy,1.0
ttzstv.bb+gwmpbm.g_t_flipped.npy,0.0
tpggts.zz+pvzgzv.s_zmm.npy,1.0
tgmzzv.sq+gzppmb.g_z_flipped.npy,1.0
tbmvgg.gz+gpbwtb.s_t_translated.npy,0.0
tppvpt.mv+pwgwbv.z_z_rotated.npy,1.0
ttmqtb.vw+ggpwbq.p_zmm.npy,5.0
tzgttt.gt+gmptgz.s_zmm.npy,5.0
tbbtbw.vs+pvtsbz.v_t_rotated.npy,1.0
ttgzbt.pw+ggpqtg.s_zmm.npy,1.0
tptvbm.pw+pstmtp.q_t_translated.npy,1.0
tbbsgs.sg+gbpvzp.q_z_translated.npy,2.0
tbztbz.sm+pqbtzm.v_t_flipped.npy,0.0
tpbgzt.qv+gzzpgs.b_zmm.npy,5.0
ttzzbm.sw+pwbvgt.g_zmm.npy,5.0
tbbppp.mb+gtzzmp.p_z_translated.npy,1.0
tzptpt.vb+gzbwbw.w_t_rotated.npy,1.0
tmgqzw.qv+pvpztw.t_t_flipped.npy,1.0
ttbpmt.sv+gmmzzv.m_zmm.npy,0.0
tbttmz.qs+ggtbgb.s_zmm.npy,1.0
tbbqzt.qs+pqpsgm.s_zmm.npy,5.0
tbbbzp.zv+gbbbgp.v_z_flipped.npy,1.0
ttggpq.vw+gmtgtb.b_t_translated.npy,2.0
tbmbpm.tt+pvbmgm.t_z_flipped.npy,1.0
tzbmgq.bq+pwgztv.g_t_rotated.npy,0.0
ttgpbm.wv+gtpgpq.m_zmm.npy,5.0
ttbmts.gs+pspwzw.b_zmm.npy,1.0
ttpmtm.ww+gmpwbw.b_zmm.npy,0.0
tzmpmg.pz+gtzgzs.m_t_translated.npy,1.0
tbzgbv.vg+pqpzbt.m_t_translated.npy,1.0
ttmvmp.gg+gbtbmg.b_zmm.npy,1.0
tgmptb.qw+gbtztv.q_t_rotated.npy,1.0
tbbwzp.tg+gtpsmg.s_zmm.npy,2.0
tbtqbq.pb+gpgtts.v_zmm.npy,5.0
tpgggw.qz+gbpggw.g_t_flipped.npy,1.0
tbzqtt.tm+gzpwmp.g_t_rotated.npy,1.0
tzzbmz.gv+gtbzbb.s_zmm.npy,0.0
tgmgbp.bw+gzptzs.w_z_rotated.npy,1.0
ttgwgb.ss+gztvpw.g_z_flipped.npy,1.0
tztwgt.zs+pqpmtb.z_zmm.npy,5.0
tzzmzm.gz+pspwmt.p_z_translated.npy,1.0
tptpgg.qp+gpggpz.z_zmm.npy,2.0
tpbvgm.sg+pwmwpb.s_t_translated.npy,2.0
tbbvmp.mg+pwpwpt.m_z_flipped.npy,1.0
ttzpzz.qv+gmgzzw.p_zmm.npy,5.0
tzttmt.tb+gtmmts.s_z_translated.npy,2.0
tbgqps.vp+pszpmt.s_t_rotated.npy,0.0
tmgbzz.vg+pwzqtz.q_zmm.npy,0.0
tbtbzw.gm+gbpqgw.b_zmm.npy,0.0
tbbsgb.mq+pvzpgg.s_t_translated.npy,1.0
